club_name,club_link
Stoke City,https://fbref.com/en/squads/17892952/2013-2014/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2013-2014/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2013-2014/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2013-2014/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2013-2014/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2013-2014/West-Ham-United-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2014-2015/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2014-2015/Aston-Villa-Stats
Burnley,https://fbref.com/en/squads/943e8050/2014-2015/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2014-2015/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2014-2015/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2014-2015/Everton-Stats
Hull City,https://fbref.com/en/squads/bd8769d1/2014-2015/Hull-City-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2014-2015/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2014-2015/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2014-2015/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2014-2015/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2014-2015/Newcastle-United-Stats
QPR,https://fbref.com/en/squads/a757999c/2014-2015/Queens-Park-Rangers-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2014-2015/Southampton-Stats
Stoke City,https://fbref.com/en/squads/17892952/2014-2015/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2014-2015/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2014-2015/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2014-2015/Tottenham-Hotspur-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2014-2015/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2014-2015/West-Ham-United-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2015-2016/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2015-2016/Aston-Villa-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2015-2016/Bournemouth-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2015-2016/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2015-2016/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2015-2016/Everton-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2015-2016/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2015-2016/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2015-2016/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2015-2016/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2015-2016/Newcastle-United-Stats
Norwich City,https://fbref.com/en/squads/1c781004/2015-2016/Norwich-City-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2015-2016/Southampton-Stats
Stoke City,https://fbref.com/en/squads/17892952/2015-2016/Stoke-City-Stats
Sunderland,https://fbref.com/en/squads/8ef52968/2015-2016/Sunderland-Stats
Swansea City,https://fbref.com/en/squads/fb10988f/2015-2016/Swansea-City-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2015-2016/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2015-2016/Watford-Stats
West Brom,https://fbref.com/en/squads/60c6b05f/2015-2016/West-Bromwich-Albion-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2015-2016/West-Ham-United-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
Burnley,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
Hull City,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
